Method,Nx,Ny,Execution Time (s),inertia,mmd
greedy,1024,128,0.04236125946044922,1028.1806670214105,2.5316890621018828e-05
sharp disc.,1024,128,0.1105799674987793,1179.947343242456,1.220991197925514e-05
kmeans,1024,128,0.2601759433746338,408.93552888977257,0.0007832229673652158
bal. random,1024,128,0.019004106521606445,1044.8773875964885,0.0012892500825707476
