Method,Nx,Ny,Execution Time (s),inertia,mmd
greedy,1024,128,0.07773804664611816,1028.1806670214105,2.5316890621018828e-05
sharp disc.,1024,128,1.2270174026489258,982.1833060316716,5.4842331665971855e-06
kmeans,1024,128,0.4593348503112793,408.9355288897724,0.0007832229673651048
bal. random,1024,128,0.03699994087219238,1051.1268503509366,0.0010425547188868123
