Method,Nx,Ny,Execution Time (s),inertia,mmd
greedy,1024,128,0.03859543800354004,1028.1806670214105,2.5316890621018828e-05
sharp disc.,1024,128,0.47030186653137207,1127.3202061839338,8.548989645529304e-06
kmeans,1024,128,0.27650880813598633,408.9355288897731,0.0007832229673651048
bal. random,1024,128,0.020004749298095703,1045.4641368288892,0.0030531282026590167
